request_id,model,category,status,correct,wall_seconds
pt09,qwen3:0.6b,personal_temporal,ok,True,1.755335416
rg25,qwen3:0.6b,routine_general,ok,False,0.385487019
cg22,qwen3:0.6b,constrained_general,ok,False,1.776700029
pr29,qwen3:0.6b,personal_recall,ok,False,0.363180497
pt01,qwen3:0.6b,personal_temporal,ok,True,1.11269741
rg16,qwen3:0.6b,routine_general,ok,True,0.771269758
cg11,qwen3:0.6b,constrained_general,ok,False,1.344655793
pr15,qwen3:0.6b,personal_recall,ok,True,0.481330443
pt02,qwen3:0.6b,personal_temporal,ok,False,0.437530025
rg08,qwen3:0.6b,routine_general,ok,True,1.386561864
cg05,qwen3:0.6b,constrained_general,ok,False,1.235450051
pr30,qwen3:0.6b,personal_recall,ok,False,0.415046666
pt20,qwen3:0.6b,personal_temporal,ok,False,0.367233389
rg13,qwen3:0.6b,routine_general,ok,True,0.707292467
cg08,qwen3:0.6b,constrained_general,ok,False,0.736755695
pr28,qwen3:0.6b,personal_recall,ok,False,0.429427953
pt17,qwen3:0.6b,personal_temporal,ok,True,1.992992747
rg11,qwen3:0.6b,routine_general,ok,True,0.990504848
cg14,qwen3:0.6b,constrained_general,ok,False,0.553844954
pr26,qwen3:0.6b,personal_recall,ok,False,0.322662299
pt28,qwen3:0.6b,personal_temporal,ok,True,1.235854001
rg18,qwen3:0.6b,routine_general,ok,False,1.090502574
cg20,qwen3:0.6b,constrained_general,ok,True,0.442934437
pr02,qwen3:0.6b,personal_recall,ok,True,0.715596113
pt07,qwen3:0.6b,personal_temporal,ok,False,0.801307851
rg09,qwen3:0.6b,routine_general,ok,False,0.266750054
cg18,qwen3:0.6b,constrained_general,ok,False,0.828271247
pr16,qwen3:0.6b,personal_recall,ok,True,0.329763164
pt04,qwen3:0.6b,personal_temporal,ok,False,0.341303523
rg22,qwen3:0.6b,routine_general,ok,False,0.768742856
cg04,qwen3:0.6b,constrained_general,ok,False,1.030606368
pr22,qwen3:0.6b,personal_recall,ok,True,0.349040978
pt15,qwen3:0.6b,personal_temporal,ok,False,0.274183567
rg23,qwen3:0.6b,routine_general,ok,True,0.936733965
cg25,qwen3:0.6b,constrained_general,ok,False,0.799141466
pr25,qwen3:0.6b,personal_recall,ok,False,0.881900784
pt27,qwen3:0.6b,personal_temporal,ok,False,0.287146901
rg11,qwen3:1.7b,routine_general,ok,False,7.010977041
cg14,qwen3:1.7b,constrained_general,ok,True,3.998565651
pr26,qwen3:1.7b,personal_recall,ok,False,1.597612716
pt28,qwen3:1.7b,personal_temporal,ok,True,6.826734241
rg18,qwen3:1.7b,routine_general,ok,True,2.502951029
cg20,qwen3:1.7b,constrained_general,ok,False,1.269540629
pr02,qwen3:1.7b,personal_recall,ok,True,1.672038087
pt07,qwen3:1.7b,personal_temporal,ok,False,8.089577958
rg09,qwen3:1.7b,routine_general,ok,True,0.902114497
cg18,qwen3:1.7b,constrained_general,ok,False,3.068853448
pr16,qwen3:1.7b,personal_recall,ok,True,3.472281391
pt04,qwen3:1.7b,personal_temporal,ok,True,3.188580136
rg22,qwen3:1.7b,routine_general,ok,False,3.658510197
cg04,qwen3:1.7b,constrained_general,ok,True,4.308366073
pr22,qwen3:1.7b,personal_recall,ok,True,2.12463787
pt15,qwen3:1.7b,personal_temporal,ok,True,3.427814242
rg23,qwen3:1.7b,routine_general,ok,True,3.044480451
cg25,qwen3:1.7b,constrained_general,ok,False,0.955880295
pr25,qwen3:1.7b,personal_recall,ok,False,1.823470937
pt27,qwen3:1.7b,personal_temporal,ok,False,3.421934463
rg19,qwen3:1.7b,routine_general,ok,True,2.800011842
cg09,qwen3:1.7b,constrained_general,ok,True,1.01409727
pr01,qwen3:1.7b,personal_recall,ok,True,1.322911995
pt23,qwen3:1.7b,personal_temporal,ok,True,3.295605209
rg07,qwen3:1.7b,routine_general,ok,True,6.772774224
cg03,qwen3:1.7b,constrained_general,ok,False,2.503271154
pr04,qwen3:1.7b,personal_recall,ok,True,1.372296253
pt26,qwen3:1.7b,personal_temporal,ok,False,5.110665089
rg17,qwen3:1.7b,routine_general,ok,True,7.027310347
cg27,qwen3:1.7b,constrained_general,ok,True,7.835218587
pr23,qwen3:1.7b,personal_recall,ok,True,1.949934237
pt30,qwen3:1.7b,personal_temporal,ok,False,1.912512428
rg27,qwen3:1.7b,routine_general,ok,True,2.559569044
cg01,qwen3:1.7b,constrained_general,ok,False,5.434383649
pr19,qwen3:1.7b,personal_recall,ok,True,1.47226067
pt03,qwen3:1.7b,personal_temporal,ok,True,7.757462109
rg02,qwen3:1.7b,routine_general,ok,True,2.486500699
cg13,qwen3:1.7b,constrained_general,ok,False,2.233005342
pr27,qwen3:1.7b,personal_recall,ok,False,1.263431929
pt22,qwen3:1.7b,personal_temporal,ok,False,2.286525661
rg19,qwen3:0.6b,routine_general,ok,False,0.59225515
cg09,qwen3:0.6b,constrained_general,ok,False,0.409888351
pr01,qwen3:0.6b,personal_recall,ok,False,0.303710675
pt23,qwen3:0.6b,personal_temporal,ok,False,0.79083214
rg07,qwen3:0.6b,routine_general,ok,False,0.81475998
cg03,qwen3:0.6b,constrained_general,ok,False,1.210453384
pr04,qwen3:0.6b,personal_recall,ok,True,0.363030071
pt26,qwen3:0.6b,personal_temporal,ok,False,1.043463735
rg17,qwen3:0.6b,routine_general,ok,False,0.681338357
cg27,qwen3:0.6b,constrained_general,ok,False,0.956240538
pr23,qwen3:0.6b,personal_recall,ok,True,0.47418834
pt30,qwen3:0.6b,personal_temporal,ok,False,0.433463894
rg27,qwen3:0.6b,routine_general,ok,False,0.741929557
cg01,qwen3:0.6b,constrained_general,ok,False,1.25050255
pr19,qwen3:0.6b,personal_recall,ok,False,0.329395098
pt03,qwen3:0.6b,personal_temporal,ok,False,1.619012362
rg02,qwen3:0.6b,routine_general,ok,True,0.783956625
cg13,qwen3:0.6b,constrained_general,ok,False,0.699876283
pr27,qwen3:0.6b,personal_recall,ok,False,0.309660923
pt22,qwen3:0.6b,personal_temporal,ok,False,0.305331704
