attempt_directory,sequence_id,pattern,arm,repetition,id,index,status,workload_label,request_wall_seconds,selected_model_size,model_decision_source,memory_required,memory_decision_source,actual_final_generator,all_generator_calls,backend_generation_calls,requested_generation_calls,backend_classifier_calls,generation_tokens_known_calls,generation_output_tokens_all_calls,final_generation_output_tokens,classifier_output_tokens,all_backend_output_tokens,final_generator_gpu_allocation_fraction,residency_before,residency_after,residency_condition,previous_generator,following_turn_of_condition,return_to_small,after_small_return,first_backend_caller,application_answer_constraint,literal_speech_schema_constrained,generation_policy,fallback_from_model,quality_label,correct,all_backend_load_duration_seconds,all_backend_prompt_eval_duration_seconds,all_backend_eval_duration_seconds,all_backend_total_duration_seconds,generation_backend_load_duration_seconds,generation_backend_prompt_eval_duration_seconds,generation_backend_eval_duration_seconds,generation_backend_total_duration_seconds,classifier_backend_load_duration_seconds,classifier_backend_prompt_eval_duration_seconds,classifier_backend_eval_duration_seconds,classifier_backend_total_duration_seconds,exclusive_unaccounted_seconds,exclusive_other_instrumented_seconds,exclusive_deterministic_routing_and_bookkeeping_seconds,exclusive_answer_generation_seconds,exclusive_eviction_seconds,exclusive_residency_audit_seconds,exclusive_validation_seconds,exclusive_memory_classifier_seconds,exclusive_retrieval_seconds
ro_ddee_2_r1_large,ro_ddee_2,DDEE,large,1,ro_ddee_2_t4,4,ok,E,5.222028589,large,fixed_generator,False,fixed_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,1,1,18,18,13,31,0.5886331604106347,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,memory_selector,False,False,fixed_generator,,,,0.00639549,0.884324,3.816907,4.953903135,0.003045684,0.418678,1.437017,1.988706431,0.003349806,0.465646,2.37989,2.965196704,0.004327387,0.025023927,0.02665664,2.080790641,,0.01661762,0.004638612,3.063973762,
ro_ddee_2_r1_replay,ro_ddee_2,DDEE,replay,1,ro_ddee_2_t1,1,ok,D,35.248150396,large,lightweight_large,False,resident_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,0,1,71,71,0,71,0.5886331604106347,[],"[""qwen3:1.7b""]",cold_start,,,False,False,generation,False,False,,,,,23.865418073,0.824598,10.376178,35.083297468,23.865418073,0.824598,10.376178,35.083297468,0,0,0,0,0.004278863,0.026748105,0.015046059,35.172305046,0.017106466,0.00705954,0.005606317,,
ro_ddee_2_r1_replay,ro_ddee_2,DDEE,replay,1,ro_ddee_2_t2,2,ok,D,5.207045896,large,lightweight_large,False,resident_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,0,1,24,24,0,24,0.5886331604106347,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,generation,False,False,,,,,0.002155609,0.646619,4.348561,5.061116082,0.002155609,0.646619,4.348561,5.061116082,0,0,0,0,0.004943837,0.02332818,0.018303409,5.149645322,,0.00563787,0.005187278,,
ro_ddee_2_r1_replay,ro_ddee_2,DDEE,replay,1,ro_ddee_2_t3,3,ok,E,2.045407672,large,lightweight_resident,False,resident_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,0,1,18,18,0,18,0.5886331604106347,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,generation,False,False,,,,,0.003661506,0.49608,1.317031,1.848602016,0.003661506,0.49608,1.317031,1.848602016,0,0,0,0,0.04720131,0.024577222,0.021253468,1.939172757,,0.007704287,0.005498628,,
ro_ddee_2_r1_replay,ro_ddee_2,DDEE,replay,1,ro_ddee_2_t4,4,ok,E,10.270032982,small,lightweight_small,False,resident_model,qwen3:0.6b,"[""qwen3:0.6b""]",1,1,0,1,19,19,0,19,1.0,"[""qwen3:1.7b""]","[""qwen3:0.6b""]",model_switch,qwen3:1.7b,resident_same_model,True,False,generation,False,False,,,,,8.929301672,0.468923,0.521847,9.95009296,8.929301672,0.468923,0.521847,9.95009296,0,0,0,0,0.004275243,0.021152557,0.015384092,10.034861224,0.180960593,0.008625467,0.004773806,,
ro_ddee_2_r1_small,ro_ddee_2,DDEE,small,1,ro_ddee_2_t1,1,ok,D,12.559213401,small,fixed_generator,False,fixed_model,qwen3:0.6b,"[""qwen3:0.6b""]",1,1,1,1,79,79,13,92,1.0,[],"[""qwen3:0.6b""]",cold_start,,,False,False,memory_selector,False,False,fixed_generator,,,,9.049875751,0.718426,2.39571,12.278469737,0.002494166,0.176996,2.009505,2.278828867,9.047381585,0.54143,0.386205,9.99964087,0.004199784,0.025694081,0.026997855,2.395483056,,0.018588569,0.007125698,10.081124358,
ro_ddee_2_r1_small,ro_ddee_2,DDEE,small,1,ro_ddee_2_t2,2,ok,D,1.797352024,small,fixed_generator,False,fixed_model,qwen3:0.6b,"[""qwen3:0.6b""]",1,1,1,1,32,32,17,49,1.0,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,cold_start,False,False,memory_selector,False,False,fixed_generator,,,,0.003986229,0.24575200000000003,1.224421,1.5782761029999999,0.002385996,0.066343,0.761172,0.894491462,0.001600233,0.179409,0.463249,0.683784641,0.005714057,0.025411932,0.021151665,0.963775115,,0.017659398,0.005419024,0.758220833,
ro_ddee_2_r1_small,ro_ddee_2,DDEE,small,1,ro_ddee_2_t3,3,ok,E,1.413553212,small,fixed_generator,False,fixed_model,qwen3:0.6b,"[""qwen3:0.6b""]",1,1,1,1,22,22,13,35,1.0,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,memory_selector,False,False,fixed_generator,,,,0.005088242999999999,0.085025,0.817775,1.153328753,0.002136759,0.050104,0.541684,0.721735199,0.002951484,0.034921,0.276091,0.431593554,0.005142775,0.02304472,0.028844512,0.808398786,,0.015781859,0.005550265,0.526790295,
ro_ddee_2_r1_small,ro_ddee_2,DDEE,small,1,ro_ddee_2_t4,4,ok,E,1.336159918,small,fixed_generator,False,fixed_model,qwen3:0.6b,"[""qwen3:0.6b""]",1,1,1,1,19,19,13,32,1.0,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,memory_selector,False,False,fixed_generator,,,,0.005375082999999999,0.0862,0.755131,1.097396105,0.002481172,0.045675,0.445935,0.617904489,0.002893911,0.040525,0.309196,0.479491616,0.005135029,0.024345979,0.021185743,0.700707452,,0.015917005,0.004479582,0.564389128,
ro_ddee_3_r1_adaptive,ro_ddee_3,DDEE,adaptive,1,ro_ddee_3_t1,1,ok,D,32.458480473,large,lightweight_large,True,policy_personal,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,0,1,108,108,0,108,0.6145400071099308,[],"[""qwen3:1.7b""]",cold_start,,,False,False,generation,False,False,,,,,24.051236691,1.02568,7.049742,32.15580916,24.051236691,1.02568,7.049742,32.15580916,0,0,0,0,0.004731405,0.04046779,0.034231339,32.249563696,0.020222399,0.006550367,0.021553079,,0.081160398
