arm,deadline_seconds,correct_delivered_percent_of_144,validated_delivered_percent_of_144
large,4.130592145,5.555555555555555,7.638888888888889
large,4.133592653,5.555555555555555,7.638888888888889
large,4.152607767,5.555555555555555,7.638888888888889
large,4.229814335,5.555555555555555,7.638888888888889
large,4.260424606,5.555555555555555,7.638888888888889
large,4.373561272,6.25,8.333333333333334
large,4.407463618,6.944444444444445,9.027777777777779
large,4.418066878,7.638888888888889,9.722222222222221
large,4.498593526,7.638888888888889,9.722222222222221
large,4.523136977,7.638888888888889,9.722222222222221
large,4.606891685,7.638888888888889,10.416666666666666
large,4.947959949,7.638888888888889,10.416666666666666
large,5.000336127,7.638888888888889,11.11111111111111
large,5.103110643,8.333333333333334,11.805555555555555
large,5.120430402,8.333333333333334,11.805555555555555
large,5.176341817,8.333333333333334,12.5
large,5.239173362,8.333333333333334,12.5
large,5.256151901,8.333333333333334,12.5
large,5.262451792,8.333333333333334,13.194444444444445
large,5.277010545,8.333333333333334,13.194444444444445
large,5.279782389,8.333333333333334,13.194444444444445
large,5.285505422,9.027777777777779,13.88888888888889
large,5.302585478,9.027777777777779,13.88888888888889
large,5.319513504,9.027777777777779,13.88888888888889
large,5.347100115,9.027777777777779,13.88888888888889
large,5.394067256,9.027777777777779,13.88888888888889
large,5.416623204,9.027777777777779,13.88888888888889
large,5.430741387,9.722222222222221,14.583333333333334
large,5.451093832,9.722222222222221,14.583333333333334
large,5.486579186,9.722222222222221,14.583333333333334
large,5.491261096,9.722222222222221,14.583333333333334
large,5.491596533,10.416666666666666,15.277777777777779
large,5.614548798,10.416666666666666,15.277777777777779
large,5.629638369,11.11111111111111,15.972222222222221
large,5.642609327,11.11111111111111,15.972222222222221
large,5.779409179,11.11111111111111,15.972222222222221
large,5.780554449,11.11111111111111,15.972222222222221
large,5.808507335,11.11111111111111,16.666666666666668
large,5.814796714,11.11111111111111,17.36111111111111
large,5.84453502,11.11111111111111,18.055555555555557
large,5.886357231,11.11111111111111,18.75
large,5.910083257,11.11111111111111,18.75
large,5.951002793,11.11111111111111,18.75
large,5.964832044,11.11111111111111,18.75
large,5.979433854,11.11111111111111,19.444444444444443
large,6.060140115,11.11111111111111,19.444444444444443
large,6.08548085,11.11111111111111,19.444444444444443
large,6.099978558,11.11111111111111,19.444444444444443
large,6.114410241,11.805555555555555,20.13888888888889
large,6.144870804,12.5,20.833333333333332
large,6.194985258,12.5,20.833333333333332
large,6.237935943,12.5,20.833333333333332
large,6.246413983,13.194444444444445,21.52777777777778
large,6.270514609,13.194444444444445,22.22222222222222
large,6.377022901,13.194444444444445,22.916666666666668
large,6.382777635,13.194444444444445,22.916666666666668
large,6.413102346,13.194444444444445,22.916666666666668
large,6.449259234,13.88888888888889,23.61111111111111
large,6.485947463,13.88888888888889,23.61111111111111
large,6.48883252,13.88888888888889,23.61111111111111
large,6.516744092,14.583333333333334,24.305555555555557
large,6.519632129,14.583333333333334,25.0
large,6.69294399,14.583333333333334,25.0
large,6.696691933,14.583333333333334,25.694444444444443
large,6.706152118,14.583333333333334,25.694444444444443
large,6.778615899,14.583333333333334,25.694444444444443
large,6.82602451,14.583333333333334,25.694444444444443
large,6.841659675,15.277777777777779,26.38888888888889
large,6.843205479,15.277777777777779,26.38888888888889
large,6.921902498,15.277777777777779,27.083333333333332
large,6.957412085,15.277777777777779,27.083333333333332
large,6.978357885,15.277777777777779,27.77777777777778
large,6.990474058,15.277777777777779,27.77777777777778
large,7.015069944,15.972222222222221,28.47222222222222
large,7.019441678,15.972222222222221,28.47222222222222
large,7.023715637,15.972222222222221,29.166666666666668
large,7.034745486,15.972222222222221,29.166666666666668
large,7.059284584,16.666666666666668,29.86111111111111
large,7.086878922,16.666666666666668,29.86111111111111
large,7.116804733,16.666666666666668,30.555555555555557
large,7.141649126,16.666666666666668,31.25
large,7.187895435,16.666666666666668,31.944444444444443
large,7.190088792,17.36111111111111,32.638888888888886
large,7.239424419,18.055555555555557,33.333333333333336
large,7.246915075,18.055555555555557,33.333333333333336
large,7.249229605,18.055555555555557,33.333333333333336
large,7.262000376,18.055555555555557,33.333333333333336
large,7.349511443,18.055555555555557,33.333333333333336
large,7.370763923,18.75,34.02777777777778
large,7.455182376,18.75,34.02777777777778
large,7.500384753,18.75,34.02777777777778
large,7.504243705,19.444444444444443,34.72222222222222
large,7.523390571,19.444444444444443,35.416666666666664
large,7.539167792,19.444444444444443,35.416666666666664
large,7.550039393,19.444444444444443,35.416666666666664
large,7.584695837,19.444444444444443,36.111111111111114
large,7.667656524,19.444444444444443,36.80555555555556
large,7.70022249,19.444444444444443,37.5
large,7.717490846,19.444444444444443,38.19444444444444
large,7.727830943,19.444444444444443,38.19444444444444
large,7.770842751,19.444444444444443,38.19444444444444
large,7.789981679,20.13888888888889,38.888888888888886
large,7.807810003,20.13888888888889,39.583333333333336
large,7.838206742,20.13888888888889,40.27777777777778
large,7.868913504,20.13888888888889,40.97222222222222
large,7.883848548,20.13888888888889,40.97222222222222
large,7.8903959,20.13888888888889,40.97222222222222
large,7.913680896,20.13888888888889,40.97222222222222
large,7.930824795,20.833333333333332,41.666666666666664
large,7.954418923,20.833333333333332,42.361111111111114
large,7.957814496,20.833333333333332,42.361111111111114
large,7.986825694,20.833333333333332,42.361111111111114
large,8.028157343,20.833333333333332,43.05555555555556
large,8.127944364,20.833333333333332,43.75
large,8.168969878,20.833333333333332,43.75
large,8.262094501,20.833333333333332,43.75
large,8.288368668,20.833333333333332,43.75
large,8.307745569,20.833333333333332,43.75
large,8.500620673,20.833333333333332,43.75
large,8.515119468,20.833333333333332,43.75
large,8.590857498,20.833333333333332,43.75
large,8.629248954,20.833333333333332,43.75
large,8.633618304,20.833333333333332,44.44444444444444
large,8.636343441,20.833333333333332,44.44444444444444
large,8.640345121,20.833333333333332,45.138888888888886
large,8.687007699,20.833333333333332,45.138888888888886
large,8.700593448,20.833333333333332,45.138888888888886
large,8.726917893,20.833333333333332,45.138888888888886
large,8.754706831,20.833333333333332,45.138888888888886
large,8.812917811,20.833333333333332,45.833333333333336
large,8.818569841,20.833333333333332,45.833333333333336
large,8.832493818,20.833333333333332,45.833333333333336
large,8.883546926,20.833333333333332,46.52777777777778
large,8.889552996,20.833333333333332,47.22222222222222
large,8.925851403,20.833333333333332,47.916666666666664
large,8.974769838,20.833333333333332,47.916666666666664
large,8.984254228,20.833333333333332,48.611111111111114
large,8.989373813,20.833333333333332,48.611111111111114
large,8.991568185,20.833333333333332,49.30555555555556
large,9.007382136,20.833333333333332,50.0
large,9.035153013,20.833333333333332,50.69444444444444
large,9.047965213,20.833333333333332,50.69444444444444
large,9.179771102,20.833333333333332,50.69444444444444
large,9.255988438,20.833333333333332,51.388888888888886
large,9.278241407,20.833333333333332,51.388888888888886
large,9.285887243,20.833333333333332,51.388888888888886
large,9.296196993,20.833333333333332,51.388888888888886
large,9.324183385,20.833333333333332,51.388888888888886
large,9.381097528,20.833333333333332,52.083333333333336
large,9.395548687,20.833333333333332,52.083333333333336
large,9.450057225,21.52777777777778,52.77777777777778
large,9.461184903,21.52777777777778,52.77777777777778
large,9.513686076,21.52777777777778,52.77777777777778
large,9.529441861,21.52777777777778,52.77777777777778
large,9.535500963,21.52777777777778,52.77777777777778
large,9.681573074,21.52777777777778,52.77777777777778
large,9.715088393,21.52777777777778,52.77777777777778
large,9.833896019,21.52777777777778,52.77777777777778
large,9.844612613,21.52777777777778,52.77777777777778
large,9.848277625,22.22222222222222,53.47222222222222
large,10.016190772,22.22222222222222,54.166666666666664
large,10.030781024,22.22222222222222,54.861111111111114
large,10.065004621,22.22222222222222,55.55555555555556
large,10.088122034,22.22222222222222,56.25
large,10.091155773,22.22222222222222,56.25
large,10.156406094,22.22222222222222,56.94444444444444
large,10.180409472,22.22222222222222,56.94444444444444
large,10.180987011,22.22222222222222,56.94444444444444
large,10.201621981,22.22222222222222,57.638888888888886
large,10.304806726,22.22222222222222,58.333333333333336
large,10.419345511,22.22222222222222,59.02777777777778
large,10.774160902,22.22222222222222,59.02777777777778
large,10.831473648,22.22222222222222,59.72222222222222
large,10.833559937,22.22222222222222,60.416666666666664
large,10.834054733,22.22222222222222,61.111111111111114
large,10.868206911,22.22222222222222,61.111111111111114
large,10.922822572,22.22222222222222,61.111111111111114
large,11.00691802,22.916666666666668,61.80555555555556
large,11.052898936,22.916666666666668,62.5
large,11.055301053,22.916666666666668,62.5
large,11.058392387,22.916666666666668,62.5
large,11.099718522,22.916666666666668,62.5
large,11.171224304,22.916666666666668,62.5
large,11.269963106,22.916666666666668,62.5
large,11.279956603,22.916666666666668,62.5
large,11.443159085,23.61111111111111,63.19444444444444
large,11.443379754,23.61111111111111,63.19444444444444
large,11.506307297,23.61111111111111,63.19444444444444
large,11.595757545,24.305555555555557,63.888888888888886
large,11.671658036,24.305555555555557,63.888888888888886
large,11.719405908,25.0,64.58333333333333
large,11.74460453,25.0,65.27777777777777
large,11.746058391,25.0,65.27777777777777
large,11.819224628,25.0,65.27777777777777
large,11.8788347,25.0,65.27777777777777
large,11.957704521,25.0,65.97222222222223
large,11.963851123,25.0,66.66666666666667
large,11.97342812,25.0,67.36111111111111
large,12.02175334,25.694444444444443,68.05555555555556
large,12.243830748,25.694444444444443,68.05555555555556
large,12.278776496,25.694444444444443,68.05555555555556
