sequence_id,pattern,arm,repetition,attempt_directory,id,index,call_index,purpose,requested_model,actual_model,status,call_wall_seconds,prompt_tokens,output_tokens,total_duration_seconds,load_duration_seconds,prompt_eval_duration_seconds,eval_duration_seconds,residency_after_call,model_digest,loaded_bytes,gpu_allocated_bytes,gpu_allocation_fraction,context_length
ro_eeee_1,EEEE,small,1,ro_eeee_1_r1_small,ro_eeee_1_t1,1,1,memory_selector,qwen3:0.6b,qwen3:0.6b,ok,10.778224437,740,13,10.732834241,9.800387863,0.462747,0.427015,"[{""context_length"": 2048, ""details"": {""families"": [""qwen3""], ""family"": ""qwen3"", ""format"": ""gguf"", ""parameter_size"": ""751.63M"", ""parent_model"": """", ""quantization_level"": ""Q4_K_M""}, ""digest"": ""7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435"", ""expires_at"": ""2318-12-23T19:33:35.236017076+04:00"", ""model"": ""qwen3:0.6b"", ""name"": ""qwen3:0.6b"", ""size"": 693423308, ""size_vram"": 693423308}]",7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048
ro_eeee_1,EEEE,small,1,ro_eeee_1_r1_small,ro_eeee_1_t1,1,2,generation,qwen3:0.6b,qwen3:0.6b,ok,1.269255763,342,37,1.226422383,0.002361717,0.142883,1.01097,"[{""context_length"": 2048, ""details"": {""families"": [""qwen3""], ""family"": ""qwen3"", ""format"": ""gguf"", ""parameter_size"": ""751.63M"", ""parent_model"": """", ""quantization_level"": ""Q4_K_M""}, ""digest"": ""7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435"", ""expires_at"": ""2318-12-23T19:33:36.559896213+04:00"", ""model"": ""qwen3:0.6b"", ""name"": ""qwen3:0.6b"", ""size"": 693423308, ""size_vram"": 693423308}]",7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048
ro_eeee_1,EEEE,small,1,ro_eeee_1_r1_small,ro_eeee_1_t2,2,1,memory_selector,qwen3:0.6b,qwen3:0.6b,ok,0.7461969,740,13,0.69605062,0.00375789,0.254521,0.350432,"[{""context_length"": 2048, ""details"": {""families"": [""qwen3""], ""family"": ""qwen3"", ""format"": ""gguf"", ""parameter_size"": ""751.63M"", ""parent_model"": """", ""quantization_level"": ""Q4_K_M""}, ""digest"": ""7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435"", ""expires_at"": ""2318-12-23T19:33:37.43297692+04:00"", ""model"": ""qwen3:0.6b"", ""name"": ""qwen3:0.6b"", ""size"": 693423308, ""size_vram"": 693423308}]",7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048
ro_eeee_1,EEEE,small,1,ro_eeee_1_r1_small,ro_eeee_1_t2,2,2,generation,qwen3:0.6b,qwen3:0.6b,ok,1.076280726,385,32,1.03155171,0.002510167,0.062493,0.878256,"[{""context_length"": 2048, ""details"": {""families"": [""qwen3""], ""family"": ""qwen3"", ""format"": ""gguf"", ""parameter_size"": ""751.63M"", ""parent_model"": """", ""quantization_level"": ""Q4_K_M""}, ""digest"": ""7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435"", ""expires_at"": ""2318-12-23T19:33:38.560425758+04:00"", ""model"": ""qwen3:0.6b"", ""name"": ""qwen3:0.6b"", ""size"": 693423308, ""size_vram"": 693423308}]",7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048
ro_eeee_1,EEEE,small,1,ro_eeee_1_r1_small,ro_eeee_1_t3,3,1,memory_selector,qwen3:0.6b,qwen3:0.6b,ok,0.51198929,741,13,0.473123431,0.001994546,0.033863,0.349018,"[{""context_length"": 2048, ""details"": {""families"": [""qwen3""], ""family"": ""qwen3"", ""format"": ""gguf"", ""parameter_size"": ""751.63M"", ""parent_model"": """", ""quantization_level"": ""Q4_K_M""}, ""digest"": ""7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435"", ""expires_at"": ""2318-12-23T19:33:39.215070045+04:00"", ""model"": ""qwen3:0.6b"", ""name"": ""qwen3:0.6b"", ""size"": 693423308, ""size_vram"": 693423308}]",7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048
ro_eeee_1,EEEE,small,1,ro_eeee_1_r1_small,ro_eeee_1_t3,3,2,generation,qwen3:0.6b,qwen3:0.6b,ok,1.040128762,429,33,1.003174951,0.003619617,0.047403,0.874005,"[{""context_length"": 2048, ""details"": {""families"": [""qwen3""], ""family"": ""qwen3"", ""format"": ""gguf"", ""parameter_size"": ""751.63M"", ""parent_model"": """", ""quantization_level"": ""Q4_K_M""}, ""digest"": ""7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435"", ""expires_at"": ""2318-12-23T19:33:40.319936967+04:00"", ""model"": ""qwen3:0.6b"", ""name"": ""qwen3:0.6b"", ""size"": 693423308, ""size_vram"": 693423308}]",7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048
ro_eeee_1,EEEE,small,1,ro_eeee_1_r1_small,ro_eeee_1_t4,4,1,memory_selector,qwen3:0.6b,qwen3:0.6b,ok,0.500979128,741,13,0.457040675,0.001809936,0.024669,0.366215,"[{""context_length"": 2048, ""details"": {""families"": [""qwen3""], ""family"": ""qwen3"", ""format"": ""gguf"", ""parameter_size"": ""751.63M"", ""parent_model"": """", ""quantization_level"": ""Q4_K_M""}, ""digest"": ""7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435"", ""expires_at"": ""2318-12-23T19:33:40.948292718+04:00"", ""model"": ""qwen3:0.6b"", ""name"": ""qwen3:0.6b"", ""size"": 693423308, ""size_vram"": 693423308}]",7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048
ro_eeee_1,EEEE,small,1,ro_eeee_1_r1_small,ro_eeee_1_t4,4,2,generation,qwen3:0.6b,qwen3:0.6b,ok,1.07307503,474,33,1.028289562,0.001607599,0.046295,0.892985,"[{""context_length"": 2048, ""details"": {""families"": [""qwen3""], ""family"": ""qwen3"", ""format"": ""gguf"", ""parameter_size"": ""751.63M"", ""parent_model"": """", ""quantization_level"": ""Q4_K_M""}, ""digest"": ""7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435"", ""expires_at"": ""2318-12-23T19:33:42.086032503+04:00"", ""model"": ""qwen3:0.6b"", ""name"": ""qwen3:0.6b"", ""size"": 693423308, ""size_vram"": 693423308}]",7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048
ro_eeee_2,EEEE,adaptive,1,ro_eeee_2_r1_adaptive,ro_eeee_2_t1,1,1,generation,qwen3:0.6b,qwen3:0.6b,ok,11.69212679,345,38,11.612963695,10.234064391,0.282586,1.081261,"[{""context_length"": 2048, ""details"": {""families"": [""qwen3""], ""family"": ""qwen3"", ""format"": ""gguf"", ""parameter_size"": ""751.63M"", ""parent_model"": """", ""quantization_level"": ""Q4_K_M""}, ""digest"": ""7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435"", ""expires_at"": ""2318-12-23T19:41:54.418591402+04:00"", ""model"": ""qwen3:0.6b"", ""name"": ""qwen3:0.6b"", ""size"": 693423308, ""size_vram"": 693423308}]",7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048
ro_eeee_2,EEEE,adaptive,1,ro_eeee_2_r1_adaptive,ro_eeee_2_t2,2,1,memory_selector,qwen3:0.6b,qwen3:0.6b,ok,0.74489276,741,13,0.698207264,0.001863295,0.292953,0.357755,"[{""context_length"": 2048, ""details"": {""families"": [""qwen3""], ""family"": ""qwen3"", ""format"": ""gguf"", ""parameter_size"": ""751.63M"", ""parent_model"": """", ""quantization_level"": ""Q4_K_M""}, ""digest"": ""7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435"", ""expires_at"": ""2318-12-23T19:41:55.283669335+04:00"", ""model"": ""qwen3:0.6b"", ""name"": ""qwen3:0.6b"", ""size"": 693423308, ""size_vram"": 693423308}]",7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048
