attempt_directory,sequence_id,pattern,arm,repetition,id,index,status,wall_seconds,workload_label,actual_generator,selected_model_size,model_size_decision_source,memory_decision_source,residency_before,residency_after,residency_condition,previous_actual_generator,following_turn_of_transition,following_small_return,return_to_small,output_tokens,prompt_tokens,model_digest,loaded_bytes,gpu_allocated_bytes,gpu_allocation_fraction,context_length,routing_inclusive_seconds,deterministic_routing_inclusive_seconds,memory_classifier_inclusive_seconds,compute_classifier_inclusive_seconds,model_transition_inclusive_seconds,unload_request_inclusive_seconds,eviction_verification_inclusive_seconds,memory_classifier_calls,compute_classifier_calls,generation_calls,unaccounted_seconds,other_instrumented_seconds,deterministic_routing_and_bookkeeping_seconds,memory_classifier_seconds,eviction_seconds,residency_audit_seconds,answer_generation_seconds,validation_seconds,retrieval_seconds
ro_eeee_2_r1_large,ro_eeee_2,EEEE,large,1,ro_eeee_2_t1,1,ok,53.931061108,E,qwen3:1.7b,large,fixed_generator,policy_general,[],"[""qwen3:1.7b""]",cold_start,,,False,False,98,317,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826258,1098876190,0.662442003615788,2048,0.023040706,0.011226445,0.0,0.0,0.003943485,0.0,0.0,0,0,1,0.005629306,0.027595439,0.023040706,,,0.008316485,53.86049466,0.005984512,
ro_eeee_2_r1_large,ro_eeee_2,EEEE,large,1,ro_eeee_2_t2,2,ok,13.4548337,E,qwen3:1.7b,large,fixed_generator,fixed_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,27,423,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826258,1098876190,0.662442003615788,2048,2.705391924,0.004326725,2.683980477,0.0,0.010077505,0.0,0.0,1,0,1,0.005637979,0.027542554,0.021411447,2.676456581,,0.015424727,10.702508157,0.005852255,
ro_eeee_2_r1_large,ro_eeee_2,EEEE,large,1,ro_eeee_2_t3,3,ok,14.486948023,E,qwen3:1.7b,large,fixed_generator,fixed_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,27,461,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826258,1098876190,0.662442003615788,2048,9.519171622,0.009064883,9.494284404,0.0,0.010365127,0.0,0.0,1,0,1,0.0046171,0.021307545,0.024887218,9.483799306,,0.017691071,4.929773287,0.004872496,
ro_eeee_2_r1_large,ro_eeee_2,EEEE,large,1,ro_eeee_2_t4,4,ok,8.223034278,E,qwen3:1.7b,large,fixed_generator,fixed_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,23,499,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826258,1098876190,0.662442003615788,2048,3.299488213,0.006455401,3.275424653,0.0,0.011947715,0.0,0.0,1,0,1,0.005010994,0.031953322,0.02406356,3.268100694,,0.017211033,4.871630144,0.005064531,
ro_eeee_2_r1_replay,ro_eeee_2,EEEE,replay,1,ro_eeee_2_t1,1,ok,10.361008295,E,qwen3:0.6b,small,lightweight_small,policy_general,[],"[""qwen3:0.6b""]",cold_start,,,False,False,38,345,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.018126845,0.0,0.0,0.0,0.045979012,0.019721625,0.008183311,0,0,1,0.004407374,0.024874611,0.018126845,,0.027904936,0.005408831,10.275220681,0.005065017,
ro_eeee_2_r1_replay,ro_eeee_2,EEEE,replay,1,ro_eeee_2_t2,2,ok,1.148183508,E,qwen3:0.6b,small,lightweight_small,resident_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,cold_start,False,False,35,386,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.017646294,0.0,0.0,0.0,0.007542309,0.0,0.0,0,0,1,0.004958232,0.021311541,0.017646294,,,0.006828824,1.092918793,0.004519824,
ro_eeee_2_r1_replay,ro_eeee_2,EEEE,replay,1,ro_eeee_2_t3,3,ok,1.02721531,E,qwen3:0.6b,small,lightweight_small,resident_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,31,431,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.019673146,0.0,0.0,0.0,0.007439619,0.0,0.0,0,0,1,0.004207305,0.022854674,0.019673146,,,0.006795191,0.967931485,0.005753509,
ro_eeee_2_r1_replay,ro_eeee_2,EEEE,replay,1,ro_eeee_2_t4,4,ok,1.098965382,E,qwen3:0.6b,small,lightweight_small,resident_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,32,474,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.01840298,0.0,0.0,0.0,0.005523521,0.0,0.0,0,0,1,0.007849034,0.02491455,0.01840298,,,0.007269216,1.033914478,0.006615124,
ro_eeee_2_r1_small,ro_eeee_2,EEEE,small,1,ro_eeee_2_t1,1,ok,10.278214113,E,qwen3:0.6b,small,fixed_generator,policy_general,[],"[""qwen3:0.6b""]",cold_start,,,False,False,38,345,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.018507221,0.008610913,0.0,0.0,0.006122427,0.0,0.0,0,0,1,0.004209248,0.023790246,0.018507221,,,0.00671751,10.219440748,0.00554914,
ro_eeee_2_r1_small,ro_eeee_2,EEEE,small,1,ro_eeee_2_t2,2,ok,1.953580164,E,qwen3:0.6b,small,fixed_generator,fixed_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,cold_start,False,False,35,386,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.742880891,0.006297568,0.719615996,0.0,0.013505132,0.0,0.0,1,0,1,0.007130476,0.024009451,0.023264895,0.710861495,,0.017115651,1.166297002,0.004901194,
ro_eeee_2_r1_small,ro_eeee_2,EEEE,small,1,ro_eeee_2_t3,3,ok,1.593460963,E,qwen3:0.6b,small,fixed_generator,fixed_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,31,431,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.576659193,0.007280334,0.550607471,0.0,0.010636993,0.0,0.0,1,0,1,0.003834905,0.022385972,0.026051722,0.542816665,,0.017406343,0.976133187,0.004832169,
ro_eeee_2_r1_small,ro_eeee_2,EEEE,small,1,ro_eeee_2_t4,4,ok,1.611933821,E,qwen3:0.6b,small,fixed_generator,fixed_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,32,474,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.553270851,0.006311327,0.531771101,0.0,0.011127432,0.0,0.0,1,0,1,0.005792216,0.025404161,0.02149975,0.523256156,,0.015838256,1.011618609,0.008524673,
