attempt_directory,sequence_id,pattern,arm,repetition,id,index,status,workload_label,request_wall_seconds,selected_model_size,model_decision_source,memory_required,memory_decision_source,actual_final_generator,all_generator_calls,backend_generation_calls,requested_generation_calls,backend_classifier_calls,generation_tokens_known_calls,generation_output_tokens_all_calls,final_generation_output_tokens,classifier_output_tokens,all_backend_output_tokens,final_generator_gpu_allocation_fraction,residency_before,residency_after,residency_condition,previous_generator,following_turn_of_condition,return_to_small,after_small_return,first_backend_caller,application_answer_constraint,literal_speech_schema_constrained,generation_policy,fallback_from_model,quality_label,correct,all_backend_load_duration_seconds,all_backend_prompt_eval_duration_seconds,all_backend_eval_duration_seconds,all_backend_total_duration_seconds,generation_backend_load_duration_seconds,generation_backend_prompt_eval_duration_seconds,generation_backend_eval_duration_seconds,generation_backend_total_duration_seconds,classifier_backend_load_duration_seconds,classifier_backend_prompt_eval_duration_seconds,classifier_backend_eval_duration_seconds,classifier_backend_total_duration_seconds,exclusive_unaccounted_seconds,exclusive_other_instrumented_seconds,exclusive_deterministic_routing_and_bookkeeping_seconds,exclusive_answer_generation_seconds,exclusive_eviction_seconds,exclusive_residency_audit_seconds,exclusive_validation_seconds,exclusive_memory_classifier_seconds,exclusive_retrieval_seconds
ro_dddd_2_r1_large,ro_dddd_2,DDDD,large,1,ro_dddd_2_t1,1,ok,D,47.632983505,large,fixed_generator,False,fixed_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,1,1,35,35,13,48,0.5886331604106347,[],"[""qwen3:1.7b""]",cold_start,,,False,False,memory_selector,False,False,fixed_generator,,,,23.593311889,1.8315679999999999,21.823197,47.380663883,0.002960159,0.559813,14.394632,15.060428458,23.59035173,1.271755,7.428565,32.320235425,0.005982782,0.027101435,0.02871286,15.141384661,,0.016742881,0.007609921,32.405448965,
ro_dddd_2_r1_large,ro_dddd_2,DDDD,large,1,ro_dddd_2_t2,2,ok,D,15.365938999,large,fixed_generator,False,fixed_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,1,1,30,30,17,47,0.5886331604106347,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,memory_selector,False,False,fixed_generator,,,,0.004646114,0.890756,14.142098,15.142435207,0.002169326,0.412232,6.166127,6.642337544,0.002476788,0.478524,7.975971,8.500097663,0.006199843,0.022977413,0.021457894,6.717446298,,0.01591912,0.00494356,8.576994871,
ro_dddd_2_r1_large,ro_dddd_2,DDDD,large,1,ro_dddd_2_t3,3,ok,D,22.954188427,large,fixed_generator,False,fixed_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,1,1,61,61,13,74,0.5886331604106347,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,memory_selector,False,False,fixed_generator,,,,0.005199182,0.752476,21.757835,22.711615459,0.002767803,0.446089,17.321664,17.884060757,0.002431379,0.306387,4.436171,4.827554702,0.004972074,0.024069308,0.021098974,17.969917772,,0.01728811,0.006219908,4.910622281,
ro_dddd_2_r1_large,ro_dddd_2,DDDD,large,1,ro_dddd_2_t4,4,ok,D,31.670474041,large,fixed_generator,False,fixed_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,1,1,45,45,13,58,0.5886331604106347,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,memory_selector,False,False,fixed_generator,,,,0.006023775,0.8164020000000001,30.385803,31.427924715000003,0.002917501,0.526575,23.085469,23.733889647,0.003106274,0.289827,7.300334,7.694035068,0.004449598,0.024145119,0.023230508,23.810277377,,0.019975592,0.006520682,7.781875165,
ro_dddd_2_r1_replay,ro_dddd_2,DDDD,replay,1,ro_dddd_2_t1,1,ok,D,32.315069366,large,lightweight_large,False,resident_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,0,1,35,35,0,35,0.662442003615788,[],"[""qwen3:1.7b""]",cold_start,,,False,False,generation,False,False,,,,,23.273366041,0.704575,8.141925,32.132312266,23.273366041,0.704575,8.141925,32.132312266,0,0,0,0,0.005784637,0.028888265,0.020664955,32.223523054,0.022378783,0.00750272,0.006326952,,
ro_dddd_2_r1_replay,ro_dddd_2,DDDD,replay,1,ro_dddd_2_t2,2,ok,D,7.379109481,large,lightweight_large,False,resident_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,0,1,30,30,0,30,0.662442003615788,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,generation,False,False,,,,,0.002832285,0.379585,6.829271,7.226982124,0.002832285,0.379585,6.829271,7.226982124,0,0,0,0,0.006671087,0.0237607,0.024865846,7.308882952,,0.008693402,0.006235494,,
ro_dddd_2_r1_replay,ro_dddd_2,DDDD,replay,1,ro_dddd_2_t3,3,ok,D,20.102366791,large,lightweight_large,False,resident_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,0,1,63,63,0,63,0.662442003615788,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,generation,False,False,,,,,0.002188015,0.387968,19.544183,19.956909944,0.002188015,0.387968,19.544183,19.956909944,0,0,0,0,0.00475991,0.026450838,0.015667472,20.044023717,,0.006811794,0.00465306,,
ro_dddd_2_r1_replay,ro_dddd_2,DDDD,replay,1,ro_dddd_2_t4,4,ok,D,12.574013972,large,lightweight_large,False,resident_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,0,1,45,45,0,45,0.662442003615788,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,generation,False,False,,,,,0.003200324,0.492523,11.872909,12.426056493,0.003200324,0.492523,11.872909,12.426056493,0,0,0,0,0.005987008,0.024132839,0.015705937,12.512883156,,0.00820152,0.007103512,,
ro_dddd_2_r1_small,ro_dddd_2,DDDD,small,1,ro_dddd_2_t1,1,ok,D,12.368298365,small,fixed_generator,False,fixed_model,qwen3:0.6b,"[""qwen3:0.6b""]",1,1,1,1,62,62,13,75,1.0,[],"[""qwen3:0.6b""]",cold_start,,,False,False,memory_selector,False,False,fixed_generator,,,,9.251253366,0.6446189999999999,2.15865,12.137584474999999,0.001929961,0.162731,1.754477,1.976069348,9.249323405,0.481888,0.404173,10.161515127,0.006357926,0.026912179,0.024180923,2.048061513,,0.014468814,0.009670155,10.238646855,
ro_dddd_2_r1_small,ro_dddd_2,DDDD,small,1,ro_dddd_2_t2,2,ok,D,2.3155109,small,fixed_generator,False,fixed_model,qwen3:0.6b,"[""qwen3:0.6b""]",1,1,1,1,44,44,17,61,1.0,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,cold_start,False,False,memory_selector,False,False,fixed_generator,,,,0.003914674,0.209669,1.749298,2.052780786,0.001983146,0.061625,1.206989,1.332826465,0.001931528,0.148044,0.542309,0.719954321,0.004988455,0.030540321,0.019593114,1.419620956,,0.021579908,0.015163934,0.804024212,
