attempt_directory,sequence_id,pattern,arm,repetition,id,index,status,wall_seconds,workload_label,actual_generator,selected_model_size,model_size_decision_source,memory_decision_source,residency_before,residency_after,residency_condition,previous_actual_generator,following_turn_of_transition,following_small_return,return_to_small,output_tokens,prompt_tokens,model_digest,loaded_bytes,gpu_allocated_bytes,gpu_allocation_fraction,context_length,routing_inclusive_seconds,deterministic_routing_inclusive_seconds,memory_classifier_inclusive_seconds,compute_classifier_inclusive_seconds,model_transition_inclusive_seconds,unload_request_inclusive_seconds,eviction_verification_inclusive_seconds,memory_classifier_calls,compute_classifier_calls,generation_calls,unaccounted_seconds,other_instrumented_seconds,deterministic_routing_and_bookkeeping_seconds,answer_generation_seconds,eviction_seconds,residency_audit_seconds,validation_seconds,memory_classifier_seconds,retrieval_seconds
ro_dddd_2_r1_large,ro_dddd_2,DDDD,large,1,ro_dddd_2_t1,1,ok,47.632983505,D,qwen3:1.7b,large,fixed_generator,fixed_model,[],"[""qwen3:1.7b""]",cold_start,,,False,False,35,344,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658815773,976433971,0.5886331604106347,2048,32.442148585,0.009862352,32.413435725,0.0,0.012808269,0.0,0.0,1,0,1,0.005982782,0.027101435,0.02871286,15.141384661,,0.016742881,0.007609921,32.405448965,
ro_dddd_2_r1_large,ro_dddd_2,DDDD,large,1,ro_dddd_2_t2,2,ok,15.365938999,D,qwen3:1.7b,large,fixed_generator,fixed_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,30,413,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658815773,976433971,0.5886331604106347,2048,8.606746092,0.005057035,8.585288198,0.0,0.009503369,0.0,0.0,1,0,1,0.006199843,0.022977413,0.021457894,6.717446298,,0.01591912,0.00494356,8.576994871,
ro_dddd_2_r1_large,ro_dddd_2,DDDD,large,1,ro_dddd_2_t3,3,ok,22.954188427,D,qwen3:1.7b,large,fixed_generator,fixed_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,61,514,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658815773,976433971,0.5886331604106347,2048,4.940838984,0.005710361,4.91974001,0.0,0.014836282,0.0,0.0,1,0,1,0.004972074,0.024069308,0.021098974,17.969917772,,0.01728811,0.006219908,4.910622281,
ro_dddd_2_r1_large,ro_dddd_2,DDDD,large,1,ro_dddd_2_t4,4,ok,31.670474041,D,qwen3:1.7b,large,fixed_generator,fixed_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,45,513,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658815773,976433971,0.5886331604106347,2048,7.815558055,0.005473203,7.792327547,0.0,0.01220045,0.0,0.0,1,0,1,0.004449598,0.024145119,0.023230508,23.810277377,,0.019975592,0.006520682,7.781875165,
ro_dddd_2_r1_replay,ro_dddd_2,DDDD,replay,1,ro_dddd_2_t1,1,ok,32.315069366,D,qwen3:1.7b,large,lightweight_large,resident_model,[],"[""qwen3:1.7b""]",cold_start,,,False,False,35,344,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826258,1098876190,0.662442003615788,2048,0.020664955,0.0,0.0,0.0,0.039925751,0.015080099,0.007298684,0,0,1,0.005784637,0.028888265,0.020664955,32.223523054,0.022378783,0.00750272,0.006326952,,
ro_dddd_2_r1_replay,ro_dddd_2,DDDD,replay,1,ro_dddd_2_t2,2,ok,7.379109481,D,qwen3:1.7b,large,lightweight_large,resident_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,30,413,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826258,1098876190,0.662442003615788,2048,0.024865846,0.0,0.0,0.0,0.005168143,0.0,0.0,0,0,1,0.006671087,0.0237607,0.024865846,7.308882952,,0.008693402,0.006235494,,
ro_dddd_2_r1_replay,ro_dddd_2,DDDD,replay,1,ro_dddd_2_t3,3,ok,20.102366791,D,qwen3:1.7b,large,lightweight_large,resident_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,63,514,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826258,1098876190,0.662442003615788,2048,0.015667472,0.0,0.0,0.0,0.008487574,0.0,0.0,0,0,1,0.00475991,0.026450838,0.015667472,20.044023717,,0.006811794,0.00465306,,
ro_dddd_2_r1_replay,ro_dddd_2,DDDD,replay,1,ro_dddd_2_t4,4,ok,12.574013972,D,qwen3:1.7b,large,lightweight_large,resident_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,45,513,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826258,1098876190,0.662442003615788,2048,0.015705937,0.0,0.0,0.0,0.006060066,0.0,0.0,0,0,1,0.005987008,0.024132839,0.015705937,12.512883156,,0.00820152,0.007103512,,
ro_dddd_2_r1_small,ro_dddd_2,DDDD,small,1,ro_dddd_2_t1,1,ok,12.368298365,D,qwen3:0.6b,small,fixed_generator,fixed_model,[],"[""qwen3:0.6b""]",cold_start,,,False,False,62,372,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,10.269862165,0.010198262,10.245681242,0.0,0.009893199,0.0,0.0,1,0,1,0.006357926,0.026912179,0.024180923,2.048061513,,0.014468814,0.009670155,10.238646855,
ro_dddd_2_r1_small,ro_dddd_2,DDDD,small,1,ro_dddd_2_t2,2,ok,2.3155109,D,qwen3:0.6b,small,fixed_generator,fixed_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,cold_start,False,False,44,464,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.834800248,0.005059082,0.815207134,0.0,0.010696288,0.0,0.0,1,0,1,0.004988455,0.030540321,0.019593114,1.419620956,,0.021579908,0.015163934,0.804024212,
