sequence_id,pattern,repetition,comparator,adaptive_seconds,comparator_seconds,adaptive_minus_comparator_seconds,adaptive_startup_minus_comparator_seconds,adaptive_requests_minus_comparator_seconds
ro_dddd_2,DDDD,3,replay,111.043044727,94.643223948,16.399820778999995,0.5189421249999997,15.848297793
ro_dddd_3,DDDD,1,small,113.08070934,22.442304449,90.638404891,-0.06980925399999993,90.66928307
ro_dddd_3,DDDD,1,large,113.08070934,121.50631891,-8.425609570000006,-0.09632140599999994,-8.350933244000004
ro_dddd_3,DDDD,1,replay,113.08070934,124.649985838,-11.569276498000008,-0.13271089400000013,-11.459149752999991
ro_dddd_3,DDDD,2,small,51.187902991,20.458979077,30.728923914000003,-0.08748044899999963,30.817370085
ro_dddd_3,DDDD,2,large,51.187902991,63.185306572,-11.997403581,-0.22767528699999984,-11.767321128999995
ro_dddd_3,DDDD,2,replay,51.187902991,52.63975161,-1.4518486189999962,-0.12135352999999993,-1.3311991809999952
ro_dddd_3,DDDD,3,small,88.17826712,22.426982883,65.751284237,1.1446358449999998,64.591628936
ro_dddd_3,DDDD,3,large,88.17826712,82.502225307,5.676041812999998,1.1827688379999999,4.479540604999997
ro_dddd_3,DDDD,3,replay,88.17826712,63.588479104,24.589788016,1.15315456,23.441957711
ro_ddee_1,DDEE,1,small,110.055917832,19.67187701,90.384040822,1.348049257,89.065501458
ro_ddee_1,DDEE,1,large,110.055917832,125.321405387,-15.265487554999993,1.242979043,-16.377065324
ro_ddee_1,DDEE,1,replay,110.055917832,52.927045072,57.12887276000001,1.1868682300000004,55.956815784999996
ro_ddee_1,DDEE,2,small,91.996038153,19.805833085,72.190205068,-0.5537467920000001,72.730229494
ro_ddee_1,DDEE,2,large,91.996038153,94.988699216,-2.992661063,0.42149394799999973,-3.4187190180000044
ro_ddee_1,DDEE,2,replay,91.996038153,79.103366844,12.892671308999994,0.2582715969999998,12.610281951999994
ro_ddee_1,DDEE,3,small,78.577397646,20.219958708,58.357438937999994,-0.7801181580000001,59.120098352
ro_ddee_1,DDEE,3,large,78.577397646,71.534473152,7.04292449399999,0.21251952200000002,6.827267689999999
ro_ddee_1,DDEE,3,replay,78.577397646,60.423074584,18.154323061999996,-0.25039752299999973,18.381224532999994
ro_ddee_2,DDEE,1,small,75.025820202,20.182397712,54.84342249000001,1.5656180450000003,53.245610842999994
ro_ddee_2,DDEE,1,large,75.025820202,50.607808758,24.41801144400001,-0.78301687,25.178352374
ro_ddee_2,DDEE,1,replay,75.025820202,56.189786023,18.836034179000002,1.2239502260000004,17.581252451999994
ro_ddee_2,DDEE,2,small,92.810344432,19.544481432,73.265863,0.8723134789999998,72.385403536
ro_ddee_2,DDEE,2,large,92.810344432,85.852433531,6.957910900999991,1.0292156009999998,5.952172817000005
ro_ddee_2,DDEE,2,replay,92.810344432,61.234202083,31.576142348999994,1.049111201,30.509524585
ro_ddee_2,DDEE,3,small,82.247154186,21.29132719,60.955826996,-1.254260882,62.181617824
ro_ddee_2,DDEE,3,large,82.247154186,70.28735675,11.959797436000002,-0.030567217000000202,11.988633554000003
ro_ddee_2,DDEE,3,replay,82.247154186,54.621848072,27.625306114000004,-0.8052276429999998,28.437644744000004
ro_ddee_3,DDEE,1,small,58.580071036,20.845852645,37.734218391,0.35073350999999997,37.520131178
ro_ddee_3,DDEE,1,large,58.580071036,49.614360419,8.965710617,0.95349649,8.173192497000002
ro_ddee_3,DDEE,1,replay,58.580071036,52.637510429,5.942560606999997,0.9735837599999999,4.962195108000003
ro_ddee_3,DDEE,2,small,97.774548361,20.478252581,77.29629578000001,0.8591633220000001,76.435614203
ro_ddee_3,DDEE,2,large,97.774548361,107.128657666,-9.354109304999994,1.196889032,-10.540626809000003
ro_ddee_3,DDEE,2,replay,97.774548361,88.535602702,9.238945658999995,0.7093233720000001,8.525326049
ro_ddee_3,DDEE,3,small,75.574984798,20.674942606,54.900042192,0.030208834999999823,54.853796485000004
ro_ddee_3,DDEE,3,large,75.574984798,57.285309138,18.28967566,0.1043336199999998,18.175869181000003
ro_ddee_3,DDEE,3,replay,75.574984798,76.031724699,-0.45673990099999173,-0.16042090500000006,-0.2484595909999996
ro_eded_1,EDED,1,small,81.011060512,18.277393916,62.733666596,-0.08218604900000015,62.826863392
ro_eded_1,EDED,1,large,81.011060512,88.001689547,-6.990629034999998,0.45959403599999993,-7.471759070999994
ro_eded_1,EDED,1,replay,81.011060512,83.813286629,-2.8022261170000036,0.4733474219999998,-3.2828849200000008
ro_eded_1,EDED,2,small,87.756529161,21.898353491,65.85817567000001,-1.5761897399999998,67.42894277
ro_eded_1,EDED,2,large,87.756529161,59.726495505,28.030033656,0.01972807600000026,28.010199922000005
ro_eded_1,EDED,2,replay,87.756529161,78.893141254,8.863387907000003,-0.019014540999999774,8.860491136000007
ro_eded_1,EDED,3,small,54.377152237,17.540245008,36.836907229,-0.32285058799999966,37.163355994
ro_eded_1,EDED,3,large,54.377152237,56.022007043,-1.644854806000005,-0.09115033799999983,-1.5405626589999954
ro_eded_1,EDED,3,replay,54.377152237,57.021449451,-2.644297214000005,-0.48811965699999993,-2.1539670959999953
ro_eded_2,EDED,1,small,61.392497276,21.335459821,40.057037455,-0.36362570299999986,40.413241084000006
ro_eded_2,EDED,1,large,61.392497276,107.384529931,-45.992032655,0.06534617099999984,-46.057151452999996
ro_eded_2,EDED,1,replay,61.392497276,53.32577586,8.066721416,-0.6781042139999998,8.770712771
ro_eded_2,EDED,2,small,114.464265857,22.344616832,92.119649025,0.4494034730000003,91.645654307
ro_eded_2,EDED,2,large,114.464265857,108.625631572,5.838634284999998,1.2057333090000002,4.607786372999996
ro_eded_2,EDED,2,replay,114.464265857,71.556135589,42.90813026800001,1.3084734120000006,41.57599200599999
ro_eded_2,EDED,3,small,67.6215173,21.580318504,46.04119879599999,-0.8691173839999999,46.90979054500001
ro_eded_2,EDED,3,large,67.6215173,78.133078256,-10.511560956000011,-0.046354945000000036,-10.465401051
