sequence_id,pattern,repetition,id,index,comparator,adaptive_status,comparator_status,adaptive_actual_model,comparator_actual_model,identical_actual_model,adaptive_residency_condition,comparator_residency_condition,adaptive_minus_comparator_seconds,output_tokens_difference,gpu_allocation_fraction_difference,adaptive_correct,comparator_correct,quality_outcome,adaptive_minus_comparator_excluding_residency_audit_seconds
ro_dddd_2,DDDD,3,ro_dddd_2_t2,2,small,ok,ok,qwen3:1.7b,qwen3:0.6b,False,resident_same_model,resident_same_model,14.512510778000001,-14,-0.41136683958936526,False,False,neither_correct,14.508276127
ro_dddd_2,DDDD,3,ro_dddd_2_t2,2,large,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,4.381923508,0,0.0,False,False,neither_correct,4.382440287
ro_dddd_2,DDDD,3,ro_dddd_2_t2,2,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,1.4373207170000004,0,0.023954719303319272,False,False,neither_correct,1.4270974890000003
ro_dddd_2,DDDD,3,ro_dddd_2_t3,3,small,ok,ok,qwen3:1.7b,qwen3:0.6b,False,resident_same_model,resident_same_model,30.338534752,-8,-0.41136683958936526,False,False,neither_correct,30.337253559
ro_dddd_2,DDDD,3,ro_dddd_2_t3,3,large,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,14.499057505,0,0.0,False,False,neither_correct,14.497549644
ro_dddd_2,DDDD,3,ro_dddd_2_t3,3,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,10.795262389999998,1,0.023954719303319272,False,False,neither_correct,10.786200766999999
ro_dddd_2,DDDD,3,ro_dddd_2_t4,4,small,ok,ok,qwen3:1.7b,qwen3:0.6b,False,resident_same_model,resident_same_model,13.42053517,26,-0.41136683958936526,False,False,neither_correct,13.421182022
ro_dddd_2,DDDD,3,ro_dddd_2_t4,4,large,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,-2.661747319999998,0,0.0,False,False,neither_correct,-2.661078902999998
ro_dddd_2,DDDD,3,ro_dddd_2_t4,4,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,-1.0700779259999997,0,0.023954719303319272,False,False,neither_correct,-1.0813429269999997
ro_dddd_3,DDDD,1,ro_dddd_3_t1,1,small,ok,ok,qwen3:1.7b,qwen3:0.6b,False,cold_start,cold_start,32.17644292599999,-3,-0.36150899453539453,False,False,neither_correct,32.176768536999994
