model,policy,case_id,repetitions,distinct_delivered_outcomes,mean_request_s,mean_success
qwen3:1.7b,ALWAYS,ir_05_04,3,1,4.090511535666667,
qwen3:1.7b,ALWAYS,ir_05_05,3,1,8.329228788,
qwen3:1.7b,ALWAYS,ir_05_06,3,1,19.693558217666666,
qwen3:1.7b,ALWAYS,ir_06_01,3,1,15.857207344666666,
qwen3:1.7b,ALWAYS,ir_06_02,3,1,8.906362778666667,
qwen3:1.7b,ALWAYS,ir_06_03,3,1,9.448485784666667,
qwen3:1.7b,ALWAYS,ir_06_04,3,1,7.400983451,
qwen3:1.7b,ALWAYS,ir_06_05,3,1,7.001193311333334,
qwen3:1.7b,ALWAYS,ir_06_06,3,1,7.247407579,
qwen3:1.7b,ALWAYS,ir_07_01,3,1,16.05233805,
qwen3:1.7b,ALWAYS,ir_07_02,3,1,23.752357339333333,
qwen3:1.7b,ALWAYS,ir_07_03,3,1,11.686270376,
qwen3:1.7b,ALWAYS,ir_07_04,3,1,5.5769430380000005,
qwen3:1.7b,ALWAYS,ir_07_05,3,1,11.451379879000001,
qwen3:1.7b,ALWAYS,ir_07_06,3,1,9.503093906,
qwen3:1.7b,ALWAYS,ir_08_01,3,2,19.885795372333334,
qwen3:1.7b,ALWAYS,ir_08_02,3,2,6.917350339666666,
qwen3:1.7b,ALWAYS,ir_08_03,3,1,22.63261196766667,
qwen3:1.7b,ALWAYS,ir_08_04,3,3,9.408512185333334,
qwen3:1.7b,ALWAYS,ir_08_05,3,1,7.155184447,
qwen3:1.7b,ALWAYS,ir_08_06,3,1,7.451086081333334,
qwen3:1.7b,OFF,ir_01_01,3,1,6.439612775333333,
qwen3:1.7b,OFF,ir_01_02,3,2,5.3713409819999995,
qwen3:1.7b,OFF,ir_01_03,3,1,6.009809517333333,
qwen3:1.7b,OFF,ir_01_04,3,3,7.185279537333333,
qwen3:1.7b,OFF,ir_01_05,3,1,6.653254654666666,
qwen3:1.7b,OFF,ir_01_06,3,1,15.875624593,
qwen3:1.7b,OFF,ir_02_01,3,1,8.690489357333334,
qwen3:1.7b,OFF,ir_02_02,3,1,8.962163147,
qwen3:1.7b,OFF,ir_02_03,3,1,10.293898918666667,
qwen3:1.7b,OFF,ir_02_04,3,2,4.807925063666667,
qwen3:1.7b,OFF,ir_02_05,3,1,4.895648283666667,
qwen3:1.7b,OFF,ir_02_06,3,1,6.942377462333333,
qwen3:1.7b,OFF,ir_03_01,3,1,5.371318272,
qwen3:1.7b,OFF,ir_03_02,3,1,8.050401563,
qwen3:1.7b,OFF,ir_03_03,3,1,8.503102087333334,
qwen3:1.7b,OFF,ir_03_04,3,3,9.252594085333333,
qwen3:1.7b,OFF,ir_03_05,3,1,6.9369084653333335,
qwen3:1.7b,OFF,ir_03_06,3,1,8.239264703,
qwen3:1.7b,OFF,ir_04_01,3,1,6.975418980333333,
qwen3:1.7b,OFF,ir_04_02,3,1,6.127291552666667,
qwen3:1.7b,OFF,ir_04_03,3,1,9.041527311,
qwen3:1.7b,OFF,ir_04_04,3,1,4.467228487333333,
qwen3:1.7b,OFF,ir_04_05,3,1,5.697629682333333,
qwen3:1.7b,OFF,ir_04_06,3,1,5.249608391333333,
qwen3:1.7b,OFF,ir_05_01,3,1,6.868993235666666,
qwen3:1.7b,OFF,ir_05_02,3,1,10.426182184666667,
qwen3:1.7b,OFF,ir_05_03,3,1,5.698898123333334,
qwen3:1.7b,OFF,ir_05_04,3,1,3.1271379546666664,
qwen3:1.7b,OFF,ir_05_05,3,2,8.299465868666667,
qwen3:1.7b,OFF,ir_05_06,3,1,14.018810483333334,
qwen3:1.7b,OFF,ir_06_01,3,1,5.462951724333333,
qwen3:1.7b,OFF,ir_06_02,3,1,6.773393113666667,
qwen3:1.7b,OFF,ir_06_03,3,1,8.456996275666667,
qwen3:1.7b,OFF,ir_06_04,3,1,6.104830739666666,
qwen3:1.7b,OFF,ir_06_05,3,2,4.956021363666666,
qwen3:1.7b,OFF,ir_06_06,3,1,6.559941504,
qwen3:1.7b,OFF,ir_07_01,3,1,4.437081681,
qwen3:1.7b,OFF,ir_07_02,3,1,14.845449040666667,
qwen3:1.7b,OFF,ir_07_03,3,1,8.14047986,
qwen3:1.7b,OFF,ir_07_04,3,1,5.106880741333334,
qwen3:1.7b,OFF,ir_07_05,3,1,4.857029314,
qwen3:1.7b,OFF,ir_07_06,3,1,6.527128057333334,
qwen3:1.7b,OFF,ir_08_01,3,1,14.725446651,
qwen3:1.7b,OFF,ir_08_02,3,3,6.13816415,
qwen3:1.7b,OFF,ir_08_03,3,1,7.353271406999999,
qwen3:1.7b,OFF,ir_08_04,3,1,9.345364776,
qwen3:1.7b,OFF,ir_08_05,3,1,5.042651801333333,
