grouping,arm,residency_condition,observed_rows,request_wall_seconds_known_count,request_wall_seconds_mean,request_wall_seconds_sum,request_wall_seconds_min,request_wall_seconds_max,generation_output_tokens_all_calls_known_count,generation_output_tokens_all_calls_mean,generation_output_tokens_all_calls_sum,generation_output_tokens_all_calls_min,generation_output_tokens_all_calls_max,all_backend_load_duration_seconds_known_count,all_backend_load_duration_seconds_mean,all_backend_load_duration_seconds_sum,all_backend_load_duration_seconds_min,all_backend_load_duration_seconds_max,following_turn_of_condition,return_to_small,after_small_return
following_turn_of_condition,adaptive,,24,24,18.475354995333333,443.408519888,1.632175282,51.148697606,24,51.125,1227,24,88,24,6.115706413791666,146.776953931,0.001497375,26.667209071,cold_start,,
following_turn_of_condition,adaptive,,6,6,10.708411215,64.25046728999999,4.664474588,26.139366548,6,45.5,273,26,69,6,0.005530605,0.033183630000000006,0.002737118,0.013288958,model_switch,,
following_turn_of_condition,adaptive,,42,42,10.043503584761904,421.82715056000006,1.185222035,25.781437469,42,36.88095238095238,1549,18,100,42,1.4058621932142856,59.046212114999996,0.00205273,10.832593790999999,resident_same_model,,
following_turn_of_condition,adaptive,,24,24,24.841617138,596.1988113120002,10.785882293,51.800051491,24,50.25,1206,35,108,24,16.831163219416666,403.94791726599993,8.936264769,25.914129477,,,
following_turn_of_condition,large,,24,24,13.787725592208334,330.9054142130001,4.202341858,36.073090316,24,50.541666666666664,1213,22,88,24,0.004106251375,0.09855003299999998,0.001898334,0.006168333,cold_start,,
following_turn_of_condition,large,,48,48,12.093422464625,580.4842783020002,3.849601278,31.670474041,48,37.729166666666664,1811,18,100,48,0.004565530958333334,0.21914548600000003,0.001712942,0.00639549,resident_same_model,,
following_turn_of_condition,large,,24,24,39.82535125979167,955.8084302349998,26.845147735,61.996477041,24,53.708333333333336,1289,28,108,24,23.9005782525,573.61387806,21.676583483,27.711938806,,,
following_turn_of_condition,replay,,24,24,15.110314552791667,362.64754926700004,0.960884024,42.111060492,24,52.916666666666664,1270,24,88,24,5.888455060916667,141.322921462,0.001566716,24.423809228,cold_start,,
following_turn_of_condition,replay,,6,6,9.260136483666667,55.560818902,4.556895044,16.311104988,6,43.333333333333336,260,26,69,6,0.0026114833333333335,0.0156689,0.001754728,0.002915297,model_switch,,
following_turn_of_condition,replay,,42,42,6.877188652785715,288.8419234169999,0.612445311,25.451774252,42,38.166666666666664,1603,18,114,42,1.304915020857143,54.80643087600001,0.001660449,9.526791331,resident_same_model,,
following_turn_of_condition,replay,,24,24,23.95971180775,575.0330833859999,10.297521694,63.305060091,24,52.708333333333336,1265,35,108,24,16.310896019166666,391.46150446,8.739335296,25.840000305,,,
following_turn_of_condition,small,,24,24,2.09449356925,50.26784566199999,1.127103979,2.939278068,24,49.333333333333336,1184,28,79,24,0.004226137375,0.10142729699999999,0.001929541,0.0062680570000000005,cold_start,,
following_turn_of_condition,small,,48,48,1.7622134675,84.58624644,1.074533454,3.329436228,48,38.125,1830,18,105,48,0.0042650626875,0.20472300899999998,0.001504106,0.006464019,resident_same_model,,
following_turn_of_condition,small,,24,24,11.433562866833332,274.40550880399996,10.176741946,13.282261808,24,50.833333333333336,1220,35,79,24,9.209394118916666,221.02545885399996,8.459617423,11.645466283,,,
return_to_small,adaptive,,90,90,15.938947798644444,1434.505301878,1.185222035,51.800051491,90,45.72222222222222,4115,18,108,90,6.121357376444444,550.9221638800002,0.001497375,26.667209071,,False,
return_to_small,adaptive,,6,6,15.196607862,91.179647172,12.14398132,17.656547316,6,23.333333333333332,140,19,27,6,9.813683843666666,58.882103062,8.889271005,10.832593790999999,,True,
return_to_small,large,,96,96,19.4499804453125,1867.1981227499998,3.849601278,61.996477041,96,44.927083333333336,4313,18,108,96,5.978453891447916,573.9315735789997,0.001712942,27.711938806,,False,
return_to_small,replay,,90,90,13.544274984044444,1218.9847485639996,0.612445311,63.305060091,90,47.31111111111111,4258,18,114,90,5.920989926455555,532.8890933809997,0.001566716,25.840000305,,False,
return_to_small,replay,,6,6,10.516437734666667,63.098626407999994,10.047544959,10.882125912,6,23.333333333333332,140,19,27,6,9.119572052833334,54.717432317000004,8.775845108,9.526791331,,True,
return_to_small,small,,96,96,4.263120842770833,409.2596009059999,1.074533454,13.282261808,96,44.104166666666664,4234,18,105,96,2.305537595416667,221.3316091599999,0.001504106,11.645466283,,False,
