sequence_id,pattern,repetition,index,comparator,adaptive_status,comparator_status,adaptive_actual_generator,comparator_actual_generator,adaptive_residency_condition,comparator_residency_condition,adaptive_following_turn_of_condition,adaptive_correct,comparator_correct,adaptive_minus_comparator_request_wall_seconds,adaptive_minus_comparator_generation_output_tokens_all_calls,adaptive_minus_comparator_classifier_output_tokens,adaptive_minus_comparator_all_backend_output_tokens,adaptive_minus_comparator_final_generator_gpu_allocation_fraction,adaptive_minus_comparator_all_backend_load_duration_seconds,adaptive_minus_comparator_all_backend_prompt_eval_duration_seconds,adaptive_minus_comparator_all_backend_eval_duration_seconds,adaptive_minus_comparator_all_backend_total_duration_seconds,adaptive_minus_comparator_generation_backend_load_duration_seconds,adaptive_minus_comparator_generation_backend_prompt_eval_duration_seconds,adaptive_minus_comparator_generation_backend_eval_duration_seconds,adaptive_minus_comparator_generation_backend_total_duration_seconds,adaptive_minus_comparator_classifier_backend_load_duration_seconds,adaptive_minus_comparator_classifier_backend_prompt_eval_duration_seconds,adaptive_minus_comparator_classifier_backend_eval_duration_seconds,adaptive_minus_comparator_classifier_backend_total_duration_seconds
ro_ddee_3,DDEE,1,3,small,ok,ok,qwen3:1.7b,qwen3:0.6b,resident_same_model,resident_same_model,resident_same_model,,,2.7275759870000003,-9,0,-9,-0.38545999289006916,0.0004936660000000002,1.105381,1.6436370000000002,2.7183580999999997,0.00033383100000000014,0.375398,0.981747,1.331561131,0.0001598350000000001,0.729983,0.6618900000000001,1.3867969689999997
ro_ddee_3,DDEE,1,4,small,ok,ok,qwen3:0.6b,qwen3:0.6b,model_switch,resident_same_model,resident_same_model,,,10.544212843,-8,0,-8,0.0,8.883880138,0.8796779999999998,0.6049310000000001,10.278441345000001,8.883757842,0.333126,-0.05368200000000001,9.077554678,0.00012229600000000004,0.5465519999999999,0.6586130000000001,1.200886667
ro_ddee_3,DDEE,1,1,large,ok,error,qwen3:1.7b,qwen3:1.7b,cold_start,cold_start,,,,1.2106649900000015,52,0,52,0.025906846699296104,1.0179840290000008,-0.11751900000000015,0.26066000000000056,1.1598353039999978,1.0179840290000008,-0.11751900000000015,0.26066000000000056,1.1598353039999978,0,0,0,0
ro_ddee_3,DDEE,1,2,large,ok,ok,qwen3:1.7b,qwen3:1.7b,resident_same_model,resident_same_model,cold_start,,,-0.5944128710000003,0,0,0,0.025906846699296104,-0.000400959,-0.10882800000000004,-0.4897119999999999,-0.5901492169999996,-0.000400959,-0.10882800000000004,-0.4897119999999999,-0.5901492169999996,0,0,0,0
ro_ddee_3,DDEE,1,3,large,ok,ok,qwen3:1.7b,qwen3:1.7b,resident_same_model,resident_same_model,resident_same_model,,,-0.36809294699999917,0,0,0,0.025906846699296104,0.0013522329999999996,-0.09190299999999985,-0.27488999999999963,-0.3765399140000003,0.0008148610000000001,-0.06109299999999995,-0.06043799999999999,-0.1302874270000003,0.0005373719999999999,-0.030810000000000004,-0.21445199999999998,-0.24625248700000002
ro_ddee_3,DDEE,1,4,large,ok,ok,qwen3:0.6b,qwen3:1.7b,model_switch,resident_same_model,resident_same_model,,,7.925033325,0,0,0,0.41136683958936526,8.883943871,0.19115099999999985,-1.239306,7.7156934800000005,8.883727064,0.059529,-1.1532970000000002,7.703698805,0.00021680700000000028,0.13162199999999996,-0.086009,0.011994674999999955
ro_ddee_3,DDEE,1,1,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,cold_start,cold_start,,,,0.22810539800000385,0,0,0,0.0,1.3471384139999998,-0.08438200000000018,-1.025055,0.23563746199999613,1.3471384139999998,-0.08438200000000018,-1.025055,0.23563746199999613,0,0,0,0
ro_ddee_3,DDEE,1,2,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,resident_same_model,resident_same_model,cold_start,,,0.46584098199999957,0,0,0,0.0,-0.000451543,-0.00880700000000001,0.4727629999999996,0.4573235860000002,-0.000451543,-0.00880700000000001,0.4727629999999996,0.4573235860000002,0,0,0,0
ro_ddee_3,DDEE,1,3,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,resident_same_model,resident_same_model,resident_same_model,,,2.3173247890000006,0,13,13,0.0,0.0031278520000000004,1.153551,1.0135710000000002,2.1987309299999995,0.00022056400000000035,0.09458100000000003,0.06931700000000007,0.12304301799999973,0.002907288,1.05897,0.944254,2.075687912
ro_ddee_3,DDEE,1,4,replay,ok,ok,qwen3:0.6b,qwen3:0.6b,model_switch,model_switch,resident_same_model,,,1.9509239390000008,0,13,13,0.0,0.11342589699999905,0.6363359999999998,0.96969,1.808393662000002,0.11059275799999924,0.037031999999999954,0.011215999999999893,0.15969279000000114,0.002833139,0.599304,0.958474,1.648700872
ro_ddee_3,DDEE,2,1,small,error,error,qwen3:1.7b,qwen3:0.6b,cold_start,cold_start,,,,30.109347729,-4,0,-4,-0.41136683958936526,15.211459328000002,0.614579,14.149422,30.013970254999997,15.211459328000002,0.614579,14.149422,30.013970254999997,0,0,0,0
ro_ddee_3,DDEE,2,2,small,ok,ok,qwen3:1.7b,qwen3:0.6b,resident_same_model,resident_same_model,cold_start,,,19.238426978,-6,0,-6,-0.41136683958936526,0.011327124000000001,0.36470100000000005,18.807813001,19.175967877999998,0.011327124000000001,0.36470100000000005,18.807813001,19.175967877999998,0,0,0,0
ro_ddee_3,DDEE,2,3,small,ok,ok,qwen3:1.7b,qwen3:0.6b,resident_same_model,resident_same_model,resident_same_model,,,11.399210129,-9,0,-9,-0.41136683958936526,-0.00010483600000000051,1.154264,10.247806,11.395573874000002,-0.00048527200000000013,0.37684199999999995,7.767842,8.138690832000002,0.0003804359999999996,0.7774220000000001,2.4799640000000003,3.256883042
ro_ddee_3,DDEE,2,4,small,ok,ok,qwen3:0.6b,qwen3:0.6b,model_switch,resident_same_model,resident_same_model,,,15.688629366999999,-8,0,-8,0.0,10.209698033999999,2.0412660000000002,3.2678299999999996,15.428463407,10.208105762999999,0.255417,-0.171624,10.209476954000001,0.0015922710000000001,1.785849,3.439454,5.218986453
ro_ddee_3,DDEE,2,1,large,error,ok,qwen3:1.7b,qwen3:1.7b,cold_start,cold_start,,,,-18.782838029000004,-52,0,-52,0.023954719303319272,-2.1060903449999984,-0.027399000000000173,-16.720376,-18.811667989,-2.1060903449999984,-0.027399000000000173,-16.720376,-18.811667989,0,0,0,0
ro_ddee_3,DDEE,2,2,large,ok,ok,qwen3:1.7b,qwen3:1.7b,resident_same_model,resident_same_model,cold_start,,,0.37772540899999996,0,0,0,0.023954719303319272,0.010717653,-0.02398,0.3719159999999988,0.34933187799999743,0.010717653,-0.02398,0.3719159999999988,0.34933187799999743,0,0,0,0
ro_ddee_3,DDEE,2,3,large,ok,ok,qwen3:1.7b,qwen3:1.7b,resident_same_model,resident_same_model,resident_same_model,,,0.2596165149999994,0,0,0,0.023954719303319272,-4.1156000000000525e-05,-0.0131989990000001,0.26905800000000113,0.24555990400000027,0.0004040189999999998,-0.028780000000000028,1.2326699999999997,1.2025020140000002,-0.00044517500000000034,0.015581000999999928,-0.9636119999999999,-0.95694211
